time_s,voltage_V,current_A
0.000000000000000000e+00,4.090477554391359405e+00,2.500000000000000000e+00
1.403687860483922994e-02,4.090439283591100761e+00,2.500000000000000000e+00
2.807375720967845989e-02,4.090401071673566591e+00,2.500000000000000000e+00
5.614751441935691978e-02,4.090324768515497311e+00,2.500000000000000000e+00
1.122950288387138396e-01,4.090172725849776647e+00,2.500000000000000000e+00
2.245900576774276791e-01,4.089870275279738898e+00,2.500000000000000000e+00
4.491801153548553582e-01,4.089275728482968830e+00,2.500000000000000000e+00
6.737701730322830374e-01,4.088689591042198757e+00,2.500000000000000000e+00
1.122950288387138507e+00,4.087549671202598489e+00,2.500000000000000000e+00
1.572130403741993865e+00,4.086442423834487414e+00,2.500000000000000000e+00
2.021310519096849223e+00,4.085366912628981773e+00,2.500000000000000000e+00
2.919670749806559940e+00,4.083288989666621127e+00,2.500000000000000000e+00
3.818030980516270656e+00,4.081319899961484587e+00,2.500000000000000000e+00
4.716391211225981372e+00,4.079457688499661394e+00,2.500000000000000000e+00
6.513111672645402805e+00,4.076014918806215803e+00,2.500000000000000000e+00
8.130160087922881473e+00,4.073202967419261356e+00,2.500000000000000000e+00
9.747208503200360141e+00,4.070619387001167766e+00,2.500000000000000000e+00
1.136425691847783881e+01,4.068233123327233081e+00,2.500000000000000000e+00
1.298130533375531748e+01,4.066016727836465172e+00,2.500000000000000000e+00
1.621540216431027659e+01,4.062018109345798322e+00,2.500000000000000000e+00
1.944949899486523393e+01,4.058478135286106792e+00,2.500000000000000000e+00
2.268359582542019126e+01,4.055294818027354253e+00,2.500000000000000000e+00
2.591769265597514860e+01,4.052396178646670677e+00,2.500000000000000000e+00
2.915178948653010593e+01,4.049749158878912070e+00,2.500000000000000000e+00
3.000000000000000000e+01,4.049086911039968761e+00,2.500000000000000000e+00
3.000000000000000355e+01,4.135191011718850618e+00,0.000000000000000000e+00
3.002403187193457512e+01,4.135233994791338574e+00,0.000000000000000000e+00
3.004422202506092887e+01,4.135269974162703477e+00,0.000000000000000000e+00
3.008460233131363637e+01,4.135341484298809434e+00,0.000000000000000000e+00
3.016536294381905492e+01,4.135482998993946779e+00,0.000000000000000000e+00
3.032688416882988847e+01,4.135760790074072268e+00,0.000000000000000000e+00
3.048840539384072201e+01,4.136033875589253839e+00,0.000000000000000000e+00
3.064992661885155556e+01,4.136302523694963540e+00,0.000000000000000000e+00
3.097296906887322621e+01,4.136830299694724822e+00,0.000000000000000000e+00
3.129601151889489685e+01,4.137343452158079415e+00,0.000000000000000000e+00
3.194209641893823814e+01,4.138326578625562746e+00,0.000000000000000000e+00
3.258818131898157588e+01,4.139256467654584881e+00,0.000000000000000000e+00
3.323426621902491718e+01,4.140137691000618680e+00,0.000000000000000000e+00
3.388035111906825847e+01,4.140974270530962897e+00,0.000000000000000000e+00
3.452643601911159976e+01,4.141769072792603978e+00,0.000000000000000000e+00
3.517252091915494105e+01,4.142525471077771471e+00,0.000000000000000000e+00
3.646469071924162364e+01,4.143934249286918003e+00,0.000000000000000000e+00
3.775686051932830622e+01,4.145221957138705449e+00,0.000000000000000000e+00
3.904903031941498881e+01,4.146403838380914308e+00,0.000000000000000000e+00
4.034120011950167140e+01,4.147494520089043846e+00,0.000000000000000000e+00
4.163336991958835398e+01,4.148499450993130111e+00,0.000000000000000000e+00
4.292553971967503657e+01,4.149435833395823892e+00,0.000000000000000000e+00
4.421770951976171915e+01,4.150306210801172568e+00,0.000000000000000000e+00
4.680204911993507721e+01,4.151885989329544557e+00,0.000000000000000000e+00
4.889310820447783357e+01,4.153021430802436242e+00,0.000000000000000000e+00
5.098416728902058992e+01,4.154051808157715797e+00,0.000000000000000000e+00
5.307522637356334627e+01,4.154990498547888045e+00,0.000000000000000000e+00
5.516628545810610262e+01,4.155849890859196094e+00,0.000000000000000000e+00
5.934840362719160822e+01,4.157362768337867109e+00,0.000000000000000000e+00
6.311230997936856824e+01,4.158536893245321053e+00,0.000000000000000000e+00
6.687621633154552114e+01,4.159571785084725803e+00,0.000000000000000000e+00
7.064012268372248116e+01,4.160488991448351825e+00,0.000000000000000000e+00
7.440402903589944117e+01,4.161306632712765463e+00,0.000000000000000000e+00
7.816793538807640118e+01,4.162037055904661109e+00,0.000000000000000000e+00
8.193184174025336119e+01,4.162694229736244367e+00,0.000000000000000000e+00
8.569574809243032121e+01,4.163286910962801457e+00,0.000000000000000000e+00
8.945965444460728122e+01,4.163824528889223942e+00,0.000000000000000000e+00
9.322356079678424123e+01,4.164312113800486159e+00,0.000000000000000000e+00
9.698746714896120125e+01,4.164757629655810867e+00,0.000000000000000000e+00
1.007513735011381613e+02,4.165163728682791167e+00,0.000000000000000000e+00
1.045152798533151213e+02,4.165537046058668480e+00,0.000000000000000000e+00
1.082791862054920813e+02,4.165879659859708539e+00,0.000000000000000000e+00
1.120430925576690413e+02,4.166196699302997963e+00,0.000000000000000000e+00
1.158069989098460013e+02,4.166488147657348762e+00,0.000000000000000000e+00
1.195709052620229613e+02,4.166760198945953064e+00,0.000000000000000000e+00
1.233348116141999213e+02,4.167010192095551346e+00,0.000000000000000000e+00
1.270987179663768813e+02,4.167245385089991316e+00,0.000000000000000000e+00
1.308626243185538272e+02,4.167463719647934717e+00,0.000000000000000000e+00
1.346265306707307730e+02,4.167669151869411337e+00,0.000000000000000000e+00
1.383904370229077188e+02,4.167859578152211419e+00,0.000000000000000000e+00
1.421543433750846646e+02,4.168040899803294508e+00,0.000000000000000000e+00
1.459182497272616104e+02,4.168208220190102509e+00,0.000000000000000000e+00
1.496821560794385562e+02,4.168370286099372990e+00,0.000000000000000000e+00
1.534460624316155020e+02,4.168517781695198821e+00,0.000000000000000000e+00
1.572099687837924478e+02,4.168664658382047250e+00,0.000000000000000000e+00
1.609738751359693936e+02,4.168794270789471845e+00,0.000000000000000000e+00
1.643613908529286505e+02,4.168907894871999531e+00,0.000000000000000000e+00
1.677489065698879074e+02,4.169016489960769789e+00,0.000000000000000000e+00
1.711364222868471643e+02,4.169120627235988863e+00,0.000000000000000000e+00
1.779114537207656781e+02,4.169319571260708734e+00,0.000000000000000000e+00
1.846864851546841919e+02,4.169504312342233732e+00,0.000000000000000000e+00
1.982365480225212480e+02,4.169835933927261706e+00,0.000000000000000000e+00
2.100000000000000000e+02,4.170088081111368972e+00,0.000000000000000000e+00
